numer log,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,nr.czastki,X,Y,
0,0,6.000000,8.000000,1,4.000000,8.000000,2,10.000000,9.000000,3,6.000000,8.000000,4,13.000000,1.000000,5,7.000000,1.000000,6,12.000000,12.000000,7,2.000000,13.000000,8,0.000000,11.000000,9,1.000000,6.000000,10,12.000000,2.000000,11,9.000000,3.000000,12,8.000000,1.000000,13,0.000000,7.000000,14,6.000000,13.000000,15,5.000000,12.000000,16,13.000000,9.000000,17,13.000000,1.000000,18,11.000000,11.000000,19,9.000000,9.000000,20,12.000000,8.000000,21,10.000000,1.000000,22,5.000000,4.000000,23,14.000000,12.000000,24,7.000000,0.000000,25,3.000000,4.000000,26,10.000000,4.000000,27,7.000000,3.000000,28,5.000000,14.000000,29,2.000000,11.000000,30,12.000000,8.000000,31,1.000000,3.000000,32,2.000000,14.000000,33,4.000000,13.000000,34,10.000000,13.000000,35,14.000000,14.000000,36,7.000000,1.000000,37,0.000000,4.000000,38,12.000000,14.000000,39,9.000000,4.000000,40,6.000000,12.000000,41,0.000000,1.000000,42,2.000000,7.000000,43,12.000000,14.000000,44,13.000000,14.000000,45,11.000000,3.000000,46,7.000000,12.000000,47,6.000000,2.000000,48,3.000000,10.000000,49,7.000000,5.000000,50,0.000000,7.000000,51,4.000000,7.000000,52,8.000000,11.000000,53,4.000000,6.000000,54,2.000000,13.000000,55,2.000000,8.000000,56,2.000000,3.000000,57,2.000000,11.000000,58,2.000000,14.000000,59,11.000000,1.000000,60,13.000000,7.000000,61,4.000000,6.000000,62,11.000000,10.000000,63,0.000000,14.000000,64,12.000000,7.000000,65,4.000000,12.000000,66,14.000000,0.000000,67,12.000000,0.000000,68,11.000000,1.000000,69,13.000000,13.000000,70,6.000000,0.000000,71,13.000000,8.000000,72,10.000000,0.000000,73,12.000000,5.000000,74,14.000000,8.000000,75,6.000000,13.000000,76,0.000000,2.000000,77,11.000000,3.000000,78,4.000000,11.000000,79,9.000000,8.000000,80,3.000000,13.000000,81,5.000000,10.000000,82,5.000000,2.000000,83,10.000000,1.000000,84,10.000000,0.000000,85,6.000000,1.000000,86,0.000000,4.000000,87,2.000000,3.000000,88,5.000000,14.000000,89,8.000000,11.000000,90,14.000000,6.000000,91,9.000000,6.000000,92,0.000000,12.000000,93,9.000000,11.000000,94,0.000000,3.000000,95,4.000000,11.000000,96,8.000000,9.000000,97,6.000000,13.000000,98,4.000000,8.000000,99,6.000000,14.000000,
1,0,5.277205,1.824387,1,4.524122,2.073583,2,9.711009,3.871376,3,7.734060,0.856319,4,10.185019,1.567764,5,11.404388,1.293638,6,6.806094,5.496033,7,9.740478,2.433928,8,6.716092,6.058900,9,4.523981,3.095851,10,9.866067,1.561300,11,8.662825,2.090864,12,9.519499,1.613341,13,2.803907,1.153601,14,8.251085,0.942706,15,7.956219,9.316168,16,8.411325,2.969986,17,5.464981,1.000000,18,8.449127,5.161568,19,8.516801,3.987265,20,11.344983,6.422547,21,7.681145,1.000000,22,3.488229,1.246783,23,9.866271,0.206385,24,7.575605,1.038092,25,5.854446,1.957906,26,8.560391,2.622585,27,7.904624,1.363561,28,9.828825,1.803779,29,2.401677,1.516961,30,7.368820,1.190294,31,6.476574,2.520144,32,10.789541,10.312735,33,3.769002,2.806990,34,10.086699,5.487289,35,9.501172,3.800738,36,9.870545,1.000000,37,6.736892,0.706058,38,5.594092,4.452396,39,7.694188,1.120406,40,7.104437,7.539299,41,5.770687,1.000000,42,7.051843,3.737111,43,9.541586,4.553680,44,8.483686,9.011543,45,9.163495,1.412602,46,11.334414,0.981995,47,7.668420,1.329768,48,6.397703,0.931421,49,10.402830,2.411278,50,5.579819,3.250881,51,6.391338,0.025520,52,6.930353,2.832383,53,4.179904,1.139479,54,2.939892,1.804078,55,4.055341,1.789289,56,6.943127,1.016983,57,6.264099,2.571905,58,8.629924,7.143378,59,8.030075,1.000000,60,7.225057,4.119509,61,2.816818,4.252146,62,9.074411,0.507146,63,8.166979,2.959749,64,7.396841,1.842221,65,6.540946,9.405280,66,9.290127,0.778456,67,10.199968,0.415571,68,6.233596,1.000000,69,10.669140,5.685613,70,4.049488,0.469639,71,6.494085,2.753787,72,9.653419,0.704398,73,7.522895,2.680337,74,7.052956,1.321994,75,8.120125,4.333337,76,6.608942,1.005815,77,9.691503,1.562680,78,3.736619,1.348723,79,10.849537,5.629726,80,4.342841,9.896215,81,8.575963,2.621940,82,7.662781,1.683975,83,5.348966,1.000000,84,9.334756,0.857980,85,7.551046,1.000000,86,2.357894,0.846575,87,1.401577,2.103912,88,2.442257,0.910950,89,1.086540,1.301940,90,5.147978,1.132679,91,3.902857,2.152627,92,1.335441,6.658955,93,0.958249,1.065208,94,0.218712,1.308828,95,1.448354,0.654749,96,1.479899,2.594537,97,2.672324,5.307063,98,2.224186,0.726579,99,3.415958,5.211054,
2,0,0.657598,3.927530,1,1.563701,1.131546,2,2.396636,1.653223,3,5.791986,2.350422,4,3.249657,1.065949,5,5.780132,1.001781,6,0.168926,4.015820,7,0.635144,5.499141,8,5.632971,0.318519,9,2.284675,0.288149,10,7.587182,0.948310,11,4.077221,1.246228,12,6.016717,0.965398,13,2.036452,2.595892,14,2.478268,3.932074,15,3.824902,7.759142,16,4.848329,3.696244,17,3.080943,1.000000,18,0.565143,0.050249,19,2.270523,2.244694,20,7.113628,0.457494,21,4.150201,1.000000,22,0.330853,0.133479,23,3.105498,2.897615,24,4.877315,0.819243,25,3.113504,0.701563,26,4.773221,1.256046,27,0.935499,0.212086,28,4.973043,2.700029,29,2.045174,2.317100,30,4.832331,0.979143,31,2.278095,0.977112,32,4.609558,0.696061,33,1.249952,9.262173,34,7.990046,2.793846,35,3.066075,5.391228,36,0.696996,1.000000,37,3.494258,1.260794,38,3.477209,2.058658,39,1.075944,0.177112,40,5.557608,1.081014,41,3.343242,1.000000,42,2.629864,2.917300,43,7.436857,3.235080,44,6.791042,9.781477,45,5.183516,1.181255,46,8.061899,1.936212,47,1.710227,0.762382,48,5.536876,2.886029,49,2.489722,0.297588,50,3.833779,2.373688,51,2.198377,2.410138,52,0.655714,1.924851,53,1.466018,2.097298,54,2.292801,3.931953,55,2.407078,2.499607,56,1.290127,1.261504,57,2.705376,3.360625,58,3.213343,4.519673,59,0.936304,1.000000,60,6.410932,2.192974,61,0.730670,2.959167,62,4.138615,1.933223,63,2.750520,2.020854,64,2.190711,0.921752,65,1.327247,1.133935,66,4.425948,0.572396,67,8.383023,0.915200,68,4.246124,1.000000,69,0.577816,1.262664,70,1.117108,0.496730,71,2.761585,0.598000,72,4.025385,0.683807,73,5.425511,0.182826,74,1.730398,0.615224,75,4.531416,0.066108,76,1.654246,1.560662,77,2.854193,1.411463,78,1.442390,3.219995,79,4.400493,0.168501,80,1.131605,7.132765,81,2.942517,4.196975,82,4.958372,0.792529,83,0.453991,1.000000,84,4.364759,0.324842,85,2.497309,1.000000,86,2.126511,0.102358,87,1.340136,0.818761,88,1.204844,3.732560,89,2.224022,4.476550,90,2.926032,3.195525,91,0.284389,1.396502,92,2.085468,3.569276,93,3.209413,3.853538,94,1.458874,0.462862,95,0.926580,2.930646,96,2.522975,0.233831,97,1.739980,8.288155,98,1.374746,2.706449,99,1.419537,0.181624,
3,0,1.257579,1.360657,1,1.036206,1.187079,2,0.062608,1.438023,3,3.475105,0.497823,4,1.490411,0.315361,5,2.302739,0.748766,6,1.815007,1.082791,7,1.852514,0.599715,8,1.967870,2.126110,9,1.244928,0.858851,10,6.832234,1.307336,11,1.216285,0.456331,12,1.468178,0.793972,13,1.800512,0.421779,14,1.015903,0.880929,15,1.454886,2.170131,16,4.664146,1.408300,17,2.146951,1.000000,18,1.499068,1.208300,19,1.142369,2.608269,20,5.259421,2.000970,21,1.491347,1.000000,22,1.279269,0.393923,23,1.092204,2.740557,24,2.455751,0.619526,25,1.027621,0.474384,26,2.490310,0.075089,27,2.198794,0.124728,28,1.653426,1.882038,29,1.901657,0.837026,30,1.645811,0.952530,31,0.679126,0.145459,32,0.904302,4.336440,33,3.097370,2.566496,34,2.654946,0.802640,35,5.586157,3.262350,36,3.107402,1.000000,37,1.075096,1.145873,38,3.807987,1.026868,39,0.719431,0.479863,40,1.422716,2.246552,41,2.527828,1.000000,42,0.363917,1.364104,43,1.190717,2.079300,44,5.460377,7.612398,45,4.903322,1.652204,46,5.752784,0.865193,47,0.046123,0.677908,48,1.622046,0.993284,49,3.862509,0.988898,50,1.516712,2.671414,51,0.920629,0.731014,52,2.019761,0.636286,53,1.375331,1.484684,54,1.677293,0.598397,55,1.208101,2.210665,56,2.788970,1.118846,57,0.768811,0.951594,58,0.452188,1.987857,59,1.976192,1.000000,60,5.043583,1.782134,61,1.408667,0.526562,62,0.087392,0.487563,63,0.941265,3.915600,64,0.801035,0.306960,65,0.700398,1.757482,66,6.422815,0.369721,67,6.851905,0.409188,68,1.030409,1.000000,69,2.920327,2.216209,70,1.119302,0.455924,71,0.724377,0.085813,72,0.141900,0.466064,73,2.484008,0.960324,74,0.950801,0.449553,75,1.582757,1.154406,76,3.181250,1.339776,77,0.436480,0.856743,78,1.429275,0.002657,79,1.381705,1.489305,80,1.285868,2.701875,81,0.845486,3.358795,82,1.534867,0.744072,83,0.857460,1.000000,84,2.712860,0.575632,85,0.594102,1.000000,86,1.360569,0.589769,87,1.834868,0.198641,88,2.507746,2.659967,89,1.207208,2.364100,90,3.041428,2.445941,91,1.556597,0.460455,92,1.245543,3.788648,93,1.651619,1.090291,94,2.089497,0.694694,95,1.535381,1.148927,96,1.809653,0.707112,97,1.730032,0.306009,98,1.839356,2.051602,99,1.216559,1.735974,
4,0,1.729087,0.068424,1,1.698944,0.387361,2,2.637182,0.675218,3,0.863514,0.278406,4,1.272628,0.010596,5,0.999775,0.542755,6,2.639530,2.423261,7,1.752760,1.250110,8,0.671974,0.953542,9,1.064543,0.628566,10,7.011632,1.804255,11,1.161354,0.257080,12,1.076629,0.689166,13,2.066344,1.207322,14,1.858717,0.144786,15,1.321334,0.303902,16,2.189730,0.182350,17,1.625407,1.000000,18,1.793948,0.212016,19,1.930756,0.305961,20,8.471939,3.072560,21,1.176446,1.000000,22,1.725537,0.505034,23,1.763422,0.294989,24,0.795587,0.635450,25,1.179166,0.523754,26,0.947077,0.572996,27,2.659479,0.577920,28,0.649856,1.777853,29,2.034748,1.222326,30,1.844166,1.001684,31,2.019193,0.100538,32,0.677215,0.651460,33,2.512428,4.608518,34,1.064249,1.456823,35,2.240229,3.285974,36,2.249274,1.000000,37,1.298887,0.842116,38,1.295459,1.014000,39,1.569832,0.600098,40,1.008794,1.181781,41,1.008745,1.000000,42,2.030524,0.410176,43,2.898436,0.476117,44,9.424482,5.280739,45,9.054949,1.588886,46,3.241249,0.484801,47,2.198749,0.418788,48,0.577595,0.210532,49,1.432674,0.257234,50,1.696920,1.793215,51,1.607088,0.283815,52,1.785478,0.289221,53,2.132743,0.308414,54,2.049846,1.335398,55,1.359388,2.224957,56,1.454949,0.883731,57,1.550346,0.672619,58,1.021802,0.215083,59,2.502256,1.000000,60,1.905394,0.858035,61,1.642170,1.007141,62,1.746180,0.380787,63,2.213861,0.231255,64,1.914323,0.660596,65,1.527545,0.804993,66,7.985760,0.539661,67,2.029934,0.712296,68,1.353093,1.000000,69,2.299787,0.865793,70,2.109433,0.418769,71,2.207366,0.761880,72,1.692858,0.262319,73,1.446524,1.214375,74,1.768561,0.512735,75,0.685889,1.108116,76,0.774839,1.021874,77,0.633911,0.859261,78,1.184685,0.497152,79,1.619148,0.956252,80,1.645384,2.200422,81,1.861398,0.911244,82,0.651931,0.634398,83,2.102865,1.000000,84,1.064968,0.731054,85,2.515027,1.000000,86,1.024165,0.570002,87,1.650200,0.783739,88,1.938078,0.968092,89,1.576367,0.607468,90,1.538509,2.000591,91,1.840018,0.169812,92,1.174077,0.709345,93,1.251604,0.619021,94,1.096416,0.255250,95,1.588164,0.908683,96,1.106023,0.473572,97,1.389140,1.212655,98,1.864216,0.684940,99,1.636365,0.634937,
5,0,1.666686,0.429029,1,1.785553,0.238517,2,2.280128,1.048730,3,1.087909,0.626090,4,1.364161,0.922139,5,2.731803,0.327331,6,2.040529,0.030143,7,1.224984,0.758627,8,2.189022,0.477078,9,1.684941,0.538589,10,4.673002,1.245953,11,1.559158,0.465247,12,2.231109,0.470758,13,2.015094,1.059445,14,1.491743,0.871859,15,1.838828,0.367380,16,1.222417,0.137024,17,2.020933,1.000000,18,1.407917,0.670902,19,1.414366,0.055258,20,5.729191,1.333565,21,2.481614,1.000000,22,1.709022,0.594905,23,1.529666,0.390509,24,1.692427,0.209279,25,1.773219,0.413092,26,1.867557,0.640614,27,1.877368,0.671937,28,1.630657,0.870478,29,2.002800,0.908089,30,2.148486,1.012364,31,1.586849,0.471431,32,2.021802,0.175137,33,1.845005,0.111529,34,1.744230,0.332675,35,1.356104,1.296059,36,1.717674,1.000000,37,1.907370,0.408343,38,1.334270,0.995911,39,1.939004,0.494134,40,1.708034,0.634971,41,1.865052,1.000000,42,2.002999,0.132323,43,2.273061,0.997743,44,7.195115,2.360973,45,7.063849,1.425560,46,1.391706,0.191812,47,1.797650,0.912925,48,1.862416,0.921410,49,0.690486,0.637053,50,1.405842,0.608786,51,2.131720,0.750774,52,1.486830,0.428466,53,1.502827,0.497556,54,2.052132,0.990473,55,1.349782,0.130472,56,1.867365,1.012851,57,1.769872,0.461134,58,1.889097,0.215750,59,2.010024,1.000000,60,1.162377,0.044379,61,1.350425,0.286973,62,1.687141,0.162788,63,1.267881,0.841917,64,1.972578,0.506548,65,1.920147,0.775355,66,6.163650,0.827742,67,0.699404,0.544142,68,2.421984,1.000000,69,1.670854,0.896319,70,1.982158,0.667457,71,1.597840,0.811202,72,1.647978,0.545738,73,2.457953,0.905705,74,1.529625,0.621854,75,1.322982,0.926364,76,1.343972,0.818256,77,2.261449,1.040202,78,1.501431,0.639270,79,2.202710,0.894027,80,1.296304,0.439740,81,1.403297,0.137592,82,1.605609,0.521754,83,2.046453,1.000000,84,1.512641,0.507524,85,1.925068,1.000000,86,1.500092,0.305646,87,1.583706,0.709511,88,1.940351,0.719945,89,1.770802,1.847710,90,1.558784,1.822197,91,1.358639,0.481773,92,1.565671,1.539825,93,1.735618,0.878370,94,1.262674,0.449216,95,1.653537,0.325102,96,1.432643,0.620010,97,1.892433,0.302645,98,1.597810,0.105726,99,1.891323,0.417729,
6,0,1.635680,0.867031,1,1.445882,0.622215,2,1.718838,1.075382,3,1.268255,0.433639,4,1.508303,0.833252,5,1.964660,0.553653,6,1.803999,0.939775,7,1.227944,0.428270,8,1.720392,0.492983,9,1.772967,0.914562,10,2.627394,1.031128,11,1.674657,0.687037,12,1.678102,0.768427,13,1.979443,0.932504,14,1.028334,0.551961,15,1.613395,0.533547,16,1.560540,0.452909,17,2.077144,1.000000,18,1.323990,0.998730,19,1.350872,0.333311,20,3.419253,1.908418,21,1.860390,1.000000,22,1.536736,0.694111,23,1.496071,0.703035,24,1.743110,0.504084,25,1.946710,0.529376,26,1.513373,0.729741,27,0.966667,0.550538,28,1.669620,0.347776,29,1.988666,0.949560,30,1.966934,1.004387,31,1.581608,0.628092,32,1.455937,0.832840,33,1.836594,1.176430,34,1.345425,0.636073,35,1.746262,0.078395,36,1.841028,1.000000,37,1.482263,0.595114,38,1.801514,0.997578,39,1.493347,0.380247,40,1.590417,0.763339,41,2.404410,1.000000,42,1.303705,0.588530,43,1.754569,1.262288,44,4.928364,10.802986,45,7.443940,1.845611,46,1.291315,0.464536,47,1.406534,0.747363,48,1.782632,0.446199,49,1.344476,0.819451,50,1.363827,0.628896,51,1.794268,0.562464,52,1.407930,0.431351,53,1.440162,0.564529,54,1.951778,0.925822,55,1.333999,0.062700,56,2.125447,1.022064,57,1.507183,0.332956,58,2.068462,0.822624,59,1.865285,1.000000,60,1.392425,0.700378,61,1.669930,0.586101,62,1.323900,0.668713,63,1.261024,0.496752,64,1.316629,0.713291,65,1.488024,0.277338,66,4.736810,0.631492,67,2.205903,0.348009,68,1.941450,1.000000,69,1.796257,1.214988,70,1.222056,1.104839,71,0.889984,0.499874,72,1.125412,0.656422,73,2.107327,1.004420,74,1.166644,0.353941,75,1.766472,0.377908,76,1.811862,0.407942,77,2.480715,1.001310,78,1.578949,0.253819,79,2.086835,0.981141,80,1.506388,0.813837,81,1.468018,0.897258,82,1.564474,0.731486,83,1.934087,1.000000,84,2.163629,0.595622,85,1.709373,1.000000,86,1.656778,0.553522,87,1.532689,0.625333,88,2.090105,1.079657,89,1.399351,0.227622,90,1.636286,0.677112,91,1.451251,0.404456,92,1.550702,0.170475,93,1.513516,0.642143,94,1.638477,0.471723,95,1.259390,0.404301,96,1.448560,0.566177,97,1.702468,0.138323,98,1.506368,0.742515,99,1.612213,0.635566,
7,0,1.370103,0.596462,1,1.840287,0.582866,2,2.023525,0.960698,3,1.555031,0.347828,4,1.085432,0.596008,5,1.048164,0.258610,6,1.925931,1.131651,7,1.617528,0.497149,8,1.586690,0.375474,9,1.289687,0.445203,10,1.462118,0.901126,11,1.675995,0.716438,12,1.256624,0.708619,13,2.010777,1.009189,14,1.774786,0.269641,15,1.599704,0.642934,16,1.799436,0.583997,17,1.976263,1.000000,18,1.695690,0.387803,19,1.602925,0.610295,20,1.380064,1.396941,21,1.750091,1.000000,22,1.726894,0.301764,23,1.442143,0.634600,24,1.214046,0.702496,25,1.606553,0.769483,26,1.533559,0.771552,27,1.899522,0.509082,28,1.232303,0.124730,29,2.006321,1.030173,30,1.959337,0.995671,31,1.802428,0.421853,32,1.364887,0.804534,33,2.085747,1.306724,34,1.435590,0.842083,35,1.538983,0.622131,36,2.131213,1.000000,37,1.636096,0.361850,38,2.067679,1.001618,39,1.354463,0.506349,40,1.515224,0.472014,41,2.009965,1.000000,42,1.228956,0.618005,43,2.064520,0.901608,44,7.763327,9.145756,45,8.152119,1.441885,46,1.434208,0.794396,47,1.837646,0.700999,48,1.698203,0.174947,49,1.690522,0.359026,50,1.368333,0.359066,51,1.243885,0.323997,52,1.406672,0.532822,53,1.564939,0.789679,54,2.012826,1.030758,55,1.745299,0.506624,56,2.046844,0.991014,57,1.482794,0.657380,58,1.480085,0.557362,59,2.013886,1.000000,60,1.544021,0.979076,61,1.708409,0.235100,62,1.613260,0.506824,63,1.630192,0.649112,64,1.545320,0.459163,65,1.317683,0.299599,66,8.234830,0.498000,67,1.454543,0.898575,68,1.919950,1.000000,69,2.068588,1.064000,70,1.700762,0.440310,71,1.899525,0.514638,72,1.650480,0.509937,73,1.846184,1.036298,74,1.292927,0.383336,75,1.587708,0.468106,76,1.755886,0.386418,77,1.859343,0.993631,78,1.827089,0.458576,79,1.906481,1.017967,80,1.710280,0.334109,81,1.974267,0.559068,82,1.580674,0.238944,83,2.049352,1.000000,84,1.526370,0.649635,85,2.082613,1.000000,86,1.462238,0.765164,87,1.558376,0.481580,88,1.983492,1.027389,89,1.417764,0.783392,90,1.291354,1.127667,91,1.755575,0.771579,92,1.548470,0.681190,93,1.436090,0.629238,94,1.248036,0.721253,95,1.656217,0.628721,96,1.247968,0.518930,97,1.543610,0.666702,98,1.811426,0.390297,99,1.236812,0.670767,
8,0,1.551134,0.434660,1,1.653060,0.239633,2,2.061470,1.006892,3,1.327058,0.420206,4,1.376752,0.393594,5,1.279775,0.556623,6,2.068354,0.930867,7,1.527574,0.490209,8,1.382895,0.670929,9,1.551519,0.211520,10,2.025768,0.918761,11,1.462038,0.703057,12,1.394131,0.651251,13,2.004666,1.017442,14,1.511477,0.665372,15,1.499882,0.255941,16,1.346567,0.534976,17,1.993195,1.000000,18,1.258791,0.601522,19,1.229920,0.674875,20,1.810041,0.609657,21,2.137783,1.000000,22,1.609957,0.222391,23,1.527501,0.437545,24,1.477806,0.602380,25,1.755298,0.729710,26,1.718126,0.500171,27,1.275171,0.701649,28,1.093578,0.753760,29,2.002260,0.994170,30,2.022341,1.001529,31,1.584108,0.648039,32,1.713244,0.253596,33,2.013005,0.781077,34,1.842665,0.477675,35,1.260350,0.590150,36,2.029180,1.000000,37,1.469415,0.691911,38,2.102890,1.000987,39,1.790717,0.453315,40,2.002600,0.240536,41,1.862969,1.000000,42,1.892626,0.555559,43,2.072265,0.997966,44,5.869107,11.269913,45,3.409297,1.719385,46,1.559104,0.660983,47,1.886640,0.459437,48,1.342738,0.727043,49,1.285343,0.064847,50,1.607490,0.559710,51,1.242364,0.474526,52,1.576247,0.513653,53,1.576840,0.273517,54,2.013737,0.997952,55,1.607049,0.357555,56,1.974306,1.001187,57,1.680017,0.343116,58,1.133892,0.192338,59,2.039016,1.000000,60,1.247587,0.490777,61,1.844656,0.673973,62,2.005802,0.471501,63,1.902230,0.734195,64,1.768470,0.675502,65,1.432922,0.824547,66,10.962055,0.848589,67,1.063513,0.752803,68,2.024013,1.000000,69,2.014771,0.929740,70,1.631764,0.401361,71,1.589463,0.672478,72,1.736857,0.357184,73,2.040653,0.999743,74,1.599019,0.694030,75,1.291325,0.736740,76,1.482803,0.697602,77,1.940621,1.005637,78,1.604590,0.637058,79,2.028090,0.995614,80,1.458845,0.800680,81,1.716526,0.814056,82,1.417922,0.405011,83,2.020885,1.000000,84,1.396356,0.462321,85,2.109702,1.000000,86,1.642587,0.288546,87,2.003399,0.741285,88,1.983138,0.969454,89,1.528290,0.460906,90,1.898783,0.374943,91,1.583682,0.210969,92,1.528654,0.634308,93,1.743881,0.320909,94,1.532060,0.475541,95,1.556524,0.414844,96,0.982461,0.087322,97,1.673954,0.360302,98,1.837895,0.153070,99,1.631881,0.250994,
9,0,1.903034,0.524452,1,1.939712,0.845522,2,1.977715,1.005404,3,1.761950,0.687464,4,1.819330,0.531393,5,1.635087,0.642177,6,1.990968,1.007468,7,1.508351,0.324181,8,1.523370,0.632423,9,1.443313,0.753740,10,2.122449,1.030238,11,1.680334,0.190899,12,1.352235,0.491045,13,1.995882,0.994803,14,1.454260,0.776832,15,1.662301,0.653900,16,1.508173,0.570629,17,2.009321,1.000000,18,1.591182,0.582224,19,1.573939,0.714660,20,2.197095,1.104993,21,1.964191,1.000000,22,1.904576,0.333068,23,1.619884,0.415733,24,1.469308,0.235381,25,1.461371,0.699509,26,1.464815,0.498837,27,1.569450,0.299510,28,1.855909,0.373033,29,1.999286,0.991006,30,1.996567,1.001376,31,1.580106,0.453569,32,2.054436,0.645419,33,1.985585,0.970631,34,1.652753,0.405120,35,1.379273,0.170351,36,1.971683,1.000000,37,1.580341,0.589813,38,1.993438,1.000007,39,1.475934,0.641948,40,1.304651,0.615860,41,2.070826,1.000000,42,1.640477,0.830131,43,1.959281,1.033132,44,6.177274,4.621118,45,0.272932,0.983919,46,1.267152,0.410725,47,1.586012,0.646299,48,1.338402,0.708141,49,1.745727,0.087295,50,1.656198,0.545933,51,1.514467,0.669120,52,1.788731,0.401198,53,1.681699,0.250587,54,1.996634,0.994196,55,1.715151,0.783898,56,1.997154,1.007311,57,1.446266,0.763146,58,1.728755,0.563988,59,2.001152,1.000000,60,1.556208,0.679153,61,1.280371,0.772460,62,1.385537,0.811571,63,1.293557,0.265568,64,1.396841,0.804992,65,1.481789,0.684729,66,5.135180,0.635856,67,2.089467,0.575873,68,2.024505,1.000000,69,1.957735,1.017137,70,1.642972,0.403913,71,1.325809,0.263182,72,1.632943,0.436423,73,2.039541,0.986839,74,1.507334,0.512680,75,1.694088,0.542996,76,1.504415,0.609791,77,2.015866,1.000148,78,1.129201,0.592172,79,2.002220,0.998292,80,1.710423,0.901004,81,1.193334,0.528002,82,1.574086,0.603749,83,1.989117,1.000000,84,1.645182,0.462726,85,2.044014,1.000000,86,1.600318,0.274162,87,1.474138,0.763929,88,2.013780,1.005501,89,1.333791,0.458804,90,1.934449,0.097253,91,1.287609,0.707278,92,1.717881,0.379008,93,1.555649,0.467041,94,1.644112,0.701214,95,1.374511,0.271222,96,1.634727,0.329892,97,1.510333,0.394493,98,1.354983,0.769888,99,1.671981,0.450396,
